,madlad
142,it was and remains my intention to submit the draft to the Commission without changing the
143,"it is then , of course , up to the Commission to discuss it and agree on a position"
144,the second point is that Chile is currently a member of the Security Council .
145,"in these very difficult days , it will be very important for Chile , in coordination with the"
146,we have tabled amendments which go precisely in this direction and which state that du
147,the second question I have to ask is in view of the answer to the question put by Mr
148,where does the Commission stand ?
149,it is clear that the tables and figures from Copenhagen must be considered as the minimum to
150,I would like to take this opportunity to ask the Commission once again to do everything possible to ensure
151,the Commission will also have to decide on whose side it stands in the procedure over the
152,"Mr President , I do not want to prolong it , but you will have noticed that"
153,"because there was an incident , which you probably understand – but you are the wrong person to address"
154,I have still not received any communication from the Bureau .
155,"we often talk about Parliament 's dignity , but it is also part of Parliament 's"
156,we must also show the red card to the extreme positions .
157,bio- and genetic technology must no longer be treated as a stepchild .
158,"the EU must get on the train of research and application , otherwise it will definitely"
159,I am concerned about the trend of more and more small and medium-sized enterpris
160,"the current moratorium at EU level means that research is being carried out , but the sub"
161,companies and therefore jobs are migrating from Europe .
162,the traffic light is on yellow from my point of view .
163,switching to green must be done .
164,we should also measure the Lisbon Summit by the contribution it makes to achieving this objective
165,the European Court of Auditors is responsible for auditing the European Union ’ s accounts
166,he has again issued a positive opinion regarding the correctness of the books :
167,the European Union 's financial accounts present fairly the revenue and expenditure for
168,"in the past , Member States have continued to conclude bilateral air services agreements , which has"
169,"it is therefore logical , and I fully agree with this , that we should finally have"
170,"in the area of the free movement of services , which will lead to increased competition in border regions"
171,"Europe should not , however , be led into a lack of initiative and a slowdown"
172,"I would therefore like to emphasise once again that , compared to other regions of the"
173,"in addition to monetary stability and budgetary solidity , we also need innovative ways"
174,that is what the Lisbon process demands !
175,"I now come to the fourth point , and I am particularly curious to hear your"
176,"you , as the Commission , originally had a different legal basis ."
177,"now you are referring to the protocol to the Treaty of Nice , and that is quite"
178,"on that day , however , the ECSC Treaty will expire , and we cannot allow"
179,I would therefore like to hear from you how you intend to proceed and what you
180,I would therefore like to thank my colleagues in particular for having succeeded in increasing
181,"I believe that this is the right way forward , because this sector creates new jobs , it"
182,"when we talk about distributing , we should also keep thinking about earning ."
183,"the small countries are doing a very special job here , and that is why the START programme"
184,I have also seen amendments in the Committee on Agriculture and Rural Development which wanted to highlight
185,"I find this very regrettable , especially when we consider that the European Union is a community of"
186,why should we not offer the poorest of the world a certain transfer ?
187,"as I said , I would have liked the Committee on Agriculture to have taken a much less"
188,I want to leave it at that for now .
189,"I am somewhat sad that , after a very good proposal or proposals from the Commission ,"
190,"we must encourage all Member States to invest more in the rail network , especially , of course"
191,how do we intend to bring Europe together if there is not enough investment here ?
192,I hope that we will at least make a statement in this regard at the December summit .
193,"once again , I would like to thank the Commission for having done so much good preparatory"
194,"Mr President , I have just one brief clarifying question for the Commissioner , with whose present"
195,we can only set the accession scenario in such a way that we commit ourselves to
196,"the proposal tabled here calls for the EU institutions , the Member States and the candidate countries to"
197,that is the motion .
198,"this is not a determination , but an effort to get there ."
199,"perhaps we can reach a common position with this wording , so that we can make the"
200,"share in prosperity , a healthy environment and health at work are probably the best investments for"
201,"as early as 1994 , with the Uruguay Round , people expected that great"
202,"growth has been achieved for the most part , but the lowest living standards have"
203,the opposite was the case !
204,it cannot be the purpose of our policy to increase our wealth but to make the poor poor
205,we must therefore not miss this last chance to demand the seven core labour standards ratified
206,"this is not a new form of protectionism , but rather a question of fundamental rights standards"
207,this is part of human rights and this minimum quality must be pursued .
208,"in addition , positive incentives can also be given to the ACP countries to do so ."
209,there are a number of ideas in the Commission report on this .
210,"if we fail to integrate the social aspect , liberalisation will not work with the last big"
211,I expect greater commitment from the Council on this issue .
212,"yes , we need more support for small and medium-sized enterprises ."
213,"I therefore welcome paragraph 15 , which is based on European Parliament resolutions on strength"
214,I therefore call for each Council to deal with the Basel Committee negotiations so that
215,"yes , we need to speed up the implementation of adopted directives ."
216,we therefore call for the implementation margins to be reduced .
217,we are calling for more Europe when it comes to achieving the Lisbon objectives and thu
218,"yes , we need the Financial Services Action Plan and stability ."
219,I therefore call on the Council to finally find a common position on pension reform after two years
220,I call for the ECOFIN Council to be criticised for undermining the Commission .
221,"Mr President , Commissioner , I am not as sure as the previous speaker that membership of the"
222,I think it was a good thing that the People 's Republic of China joined the W
223,"it was not easy for them , because it will mean major internal restructuring processes for"
224,I also believe that it is a good starting point for improved trade relations .
225,"at interviews , people from socially difficult families or neighbourhood structures or people"
226,disabled people are refused on the grounds that their appearance is not acceptable to
227,the only intention behind this is to save on costs for disabled-friendly measures .
228,employers then claim that hiring disabled people is a so-called unfair
229,"in the field of foreign policy , we will again be faced with increased demands , as"
230,"we will have to continue our engagement in the Balkans , not least in order not to"
231,I am referring specifically to the police mission in Bosnia-Herzegovina .
232,the Commission believes that the financing of the international police task force should be financed at
233,this is of course a new step .
234,"Mr Färm has pointed out that this is again a new measure , but the Commission believe"
235,the Council has given the question of financing this mission the highest priority for 2
236,"however , it is of course possible that , in the case of further measures for 2"
237,I think that we should focus our discussions in the coming months on the budgetary authority'
238,the annual discharge procedure is based on the Court of Auditors ' annual report .
239,"for 1999 , the Court gave the Commission a positive statement of assurance for"
240,the committee and the rapporteurs have not only relied on the professional work of the Court for
241,"the rapporteur , Mr Blak , has examined over 60 documents submitted by"
242,"that is not the reason why I am so committed to Tajikistan today , but unlike Mr"
243,"Tajikistan is located in an area bordered by China and Russia , which collide there , the"
244,"on behalf of the Commission , I would first like to thank you , Mr Blak ,"
245,"Mr Seppänen , you are playing a historical role as rapporteur for the ECSC budget"
246,"even though your reports concern the implementation of the budgets of the other institutions , they"
247,the market is distorted by so-called social dumping .
248,in unregulated competition – as we unfortunately know it on the road – in the
249,"in any case , it is becoming increasingly difficult for small transport companies , because the competition"
250,this is what this proposal partly addresses and also solves .
251,if the Commission 's code of conduct is described as inadequate and the wi
252,the Green Paper presents various options for discussion on these issues .
253,"however , the Commission also clearly expresses its preferences , which form a coherent system"
254,what is the general approach that the Commission is proposing ?
255,what are the guidelines of the Green Paper ?
256,the Commission 's general approach is to regulate only the absolutely necessary at European level
257,"at the same time , with the support of aid organisations and a number of non-"
258,"in this respect , Mrs Bonino , a decision taken by the last ACP-EU Joint"
259,"the political leaders were unanimously called upon , also with the voices of the representatives"
260,"Fifthly , where there are clear rules , there must also be sanctions ."
261,we have stipulated that slots will be withdrawn in case of abusive use after a
262,Member States can also impose fines .
263,"by adopting one of the amendments , we want to decide this week that it is"
264,this clarification was certainly necessary .
265,"I would like to link it , however , with the request , a request to the Member States"
266,"in June , Parliament adopted at first reading the proposal for a regulation on the traceability and"
267,I agree with the Commission that this figure is too low and not practicable .
268,a tolerance threshold of 1 % for the accidental presence of GMOs
269,"we see these things , for example , in the Israeli settlement policy , which is continuing ,"
270,"we also see this in the destruction of infrastructure in Palestinian territory , in areas that"
271,the internal market also requires that freight and passenger transport be designed in such a way
272,what the national railway companies have done in recent years is predominantly characterised by their
273,"the only chance of bringing freight transport back a little further is to ensure , on the"
274,"this method is over , this method of a Europe of law firms has no chance ."
275,"we must move towards a transparent , democratic Europe of the citizens , so that we have a"
276,that is why the method must be that in future we organise an intergovernmental conference
277,"in addition , in the area of legislation , the Council of Ministers must also be an"
278,"until now , there has been no threshold value for health impairments and there"
279,"however , the precautionary principle laid down in the EC Treaty makes a limit value"
280,the Commission has proposed an annual limit value of 5 micrograms per cubic metre
281,"this has the full support of the Committee on the Environment , Public Health and Consumer Policy ."
282,"the Committee on the Environment does not , however , support the Commission 's intention of allowing"
283,the Committee on the Environment expects the directive to be implemented correctly and proposes
284,"looking back at those years , I would first like to recall our colleague Basil"
285,"it started as a working group on technical barriers to trade , which later became the Kangaroo"
286,these were the first initiatives to achieve the single market .
287,"at that time , Jacques Delors was the chairman of the European Parliament 's Committee on Economic"
288,we have therefore re-introduced the Commission 's original proposal .
289,we believe that in urgent cases it is absolutely necessary to be able to act quickly .
290,"experience shows that safety cannot be achieved by good rules alone , but also requires a"
291,the history of the Joint Assembly is an impressive example of positive developments in this regard .
292,"whereas in the past , the ACP countries were represented at the table mainly by"
293,"we should celebrate greatly if it is soon to be 100 % , as the new"
294,greater involvement of citizens and new forms of partnership with civil society are among the Commission'
295,this has been clearly highlighted in the Commission 's paper on strategic objectives for
296,"in line with these priorities , the President and several Members of the Commission have expressed"
297,"I believe , Mrs Kinnock , that Mr Mugabe does not need our decisions or our demand"
298,"he probably does that anyway , because he would definitely lose the election if it"
299,I was shocked to see that the Presidency has apparently not yet understood
300,"Mr President , I am taking the floor because you are already calling for the agenda ."
301,I thought you would make a statement on the members of the Convention which is drawing up the
302,I had asked that the names of the Members of Parliament who had been nominated by the
303,I was assured that the President-in-Office would make this announcement this morning and
304,I am now a little surprised that you have not been given this list of names so that
305,it must be officially announced to the public that we have appointed these Members of
306,now we have the coalition against terrorism .
307,our group fully supports this .
308,but we also need a coalition to rebuild Afghanistan .
309,"you have made a statement on this , which I welcome , Mr President-in-Office ."
310,Afghanistan has suffered for 20 years !
311,we must make a joint effort at international level to give Afghanistan a good future .
312,but let me also make one thing clear .
313,neither the European Court of Auditors nor the Commission have any indication that significant irregularities
314,there is no reason to believe that the financial risk to the Community is higher than the financial correct
315,the situation for 2002 is currently being examined in detail .
316,"the Commission 's decision will take into account all the progress made in Greece , while fully respect"
317,the citizens of Europe have a right to transparency and control and to a policy that fully assume
318,we have our legitimate doubts as to whether this is guaranteed for the future .
319,"I have also learned one thing today , namely that there are allegedly Members"
320,"so if we do it in all , then we may not be ruling out the pig issue"
321,"but that is not really the subject of the debate , as I have understood it so"
322,"therefore , the best solution is for people to decide for themselves how much drugs they want to"
323,that is why I think that we will not get much further with this initiative .
324,"ultimately , it is all about more repression and more powers for Europol , and"
325,"there is an alternative to this proposal , which consists of pill testing , also called drug che"
326,"there have been several very successful projects , in the Netherlands , Switzerland , also in Vienna and Germany"
327,the European Monitoring Centre for Drugs and Drug Addiction in Portugal has given a very good judge
328,"therefore , I think that we should not agree to this repressive measure ."
329,"we Greens will certainly not do that , but will instead rely on the self-"
330,"we agree with the Commission 's courageous proposal , which we have strongly supported"
331,"they are a signal for close partnership with developing countries in the context of world trade , a"
332,we are also in favour of a strong defence of the multifunctional European agricultural
333,details are clearly set out in the report .
334,"with the explicit involvement of my colleague Mrs Lulling , I support the demand"
335,"in any case , it is a matter of the free conscience of Members ."
336,I refer to Rule 2 of the Rules of Procedure .
337,"give us a chance to actually vote on the right to take action , that is , the original"
338,"for example , according to statistics , in the United Kingdom there were 4 99"
339,but not one of these cases was classified in the statistics as a case of fraud or
340,"Finland , Austria , Portugal and Sweden also reported no such cases ."
341,"so are there fraud-free zones , so to speak , in the Union ?"
342,surely not .
343,"general access to public information can give a major boost to growth , competitiveness and employment in"
344,"with the help of public documents , new services and services in the IT area can be generated"
345,"in my view , the directive in question will only make documents held by the administrations access"
346,the authorities therefore have the necessary time to adapt to the new requirements .
347,the Council and Parliament have taken account of the concerns expressed at first reading .
348,"in this context , let us not forget that there are still differences in national administrative tradition"
349,"where Member States allow the publication of public documents , the Directive now sets out common basic"
350,I would like to mention only some areas that should be highlighted .
351,"fourthly , and most importantly for us , the 2003 budget should"
352,we do not want agricultural reform in this report here and now .
353,what we need is a further development of European agricultural policy .
354,the decisions on Agenda 2000 are the binding basis for us .
355,"the agricultural budget must not become a quarry for the most diverse appetites ,"
356,we are certainly facing enormous challenges .
357,only joint and constant efforts can help us .
358,I think it is important to maintain a high level of consensus so that we can achieve an
359,"it is true that we all live in a new scenario of insecurity , caused by"
360,"it is also true , however , that the US and the EU perceive this threat different"
361,the US feels that it is at war with international terrorism and claims the right to strike
362,"they have done this in Afghanistan , in Iraq , relying on their military power , which the"
363,"unfortunately , as part of the overall compromise , Parliament 's delegation had to"
364,this was also acceptable because the Council and Parliament jointly emphasised the importance of pilota
365,"finally , Parliament has been able to get rid of the limited duration of the piloting"
366,"finally , I would like to ask all those who are working towards the final realization of"
367,"in particular , under the heading ‘ subsidiarity principle ’ , there are some tendenci"
368,"above all , however , the division of Commissioners into those with and those without voting"
369,"I can understand that some people , in the face of an EU of 25 or more"
370,"however , the artificial reduction of the European Union into a core Europe and the rest undermine"
371,"therefore , this weakness should still be corrected ."
372,but that is not the case .
373,"we are creating a Union of state security , control and surveillance ."
374,"unfortunately , all these points are not addressed in the question by the Liberal Member ."
375,I would like to say very clearly on behalf of my group that we will not judge
376,Romania can also be used to make it clear to our population that it is in our interest to
377,Romania will continue to be an external border of the European Union .
378,"Romania is important for the stabilization of the whole Balkan region , for the whole region of South"
379,"in this respect , it is in our interest to extend our system of law and freedom to Romania"
380,"if we do not offer countries such as Romania and Bulgaria a prospect , instability will remain"
381,domestic and international voyages of passenger ships to or from Union ports are there
382,"the Commission is responsible for monitoring the practical application of this legal framework , in accord"
383,"that is why , following the sinking of the Express Samina , the Commission immediately approach"
384,"I had the impression in the Conference of Presidents that there was a little fear , particularly"
385,"I do not want to elaborate further on the reasons for this , because otherwise I"
386,that is why our group is asking that we accompany the debate with a resolution .
387,"in other words , Europe has a great opportunity to bring the added value of the European Union close"
388,we should take this opportunity now and quickly !
389,I also think that we must insist that sponsorship contracts in both the cultural and sporting
390,I also think that the right to freedom of information should be important to us .
391,this is also the economic basis of both the traditional - and we hear from the big daily newspaper
392,our aim is to move forward the date of 1 July and to have all animals over
393,then this alternative that I have presented to you here can also be implemented .
394,"the market can regulate a lot , but not everything ."
395,"in plain language , this means , for example , that in order to ensure pluralism and diversi"
396,it must be clear that European level does not have to interfere with national and regional broadca
397,"in the end , therefore , the principle applies : coordination comes before harmonisation"
398,I thank the rapporteurs and the colleagues in the Committee on Industry for having included in
399,"I also believe , however , that criminal sanctions should primarily only apply in cases of intention"
400,threatening prison is a truly existential approach !
401,I do not want a worker to be put behind bars and threatened in his
402,"I would therefore suggest that we should be very careful with these criteria , because this"
403,I must say very clearly that these political conditions for accession also include the Cyprus issue .
404,we have also made this very clear in the accession partnership with Turkey .
405,"let me say this today , with all due caution : if , at the end of"
406,"I find it very difficult to imagine how the Commission could , in such a situation , reach a"
407,"in Helsinki , only a small part of Parliament 's proposals on the guidelines were adopte"
408,"in combating youth and long-term unemployment , Parliament wanted to go further than the Council propose"
409,the other reason for unemployment in the European Union is the lack of professional qualifications .
410,"in the report before you , which was approved virtually unanimously by the Committee on"
411,"in this respect , the report contains many new and , in my view , practical proposals"
412,"however , there are other areas , apart from security reasons , where a stronger EU involve"
413,"in the social and cultural fields , in supporting democratic developments , intervening in"
414,"if all these projects , as listed in the report , are not to remain mere declarations"
415,"I did not , by the way , regret the loss of access to the Mediterranean !"
416,"we talk about the rules , but at the same time we say - at least some of us"
417,we also regret the crisis of confidence that has occurred in Europe in relation to many of
418,"trust can only be built with predictability , and predictability can only be built if"
419,I therefore say quite clearly on behalf of my group : we say yes to the
420,"if we say ' yes ' to the internal market , we must finally ensure that the obstacles"
421,we say yes to competition policy .
422,"this also means , however , that we must finally eliminate the tax provisions that distor"
423,"for some types of tax , such as VAT , energy taxation , corporate taxation ,"
424,"we say ' yes ' to the Lisbon Strategy , but if we say ' yes ' to"
425,"this also means that we must finally ensure that , in all legislative acts , we know"
426,"as far as the Hungarian status law is concerned , we have drawn the attention of the"
427,"these problems have then been taken into account in the legislation , so that we do not have"
428,"Commissioner Patten , I keep my fingers crossed for you at the first high-level"
429,all the best !
430,"the third point , which is related to the quota , is the extension of the period for maintain"
431,"in the Commission 's view , such an extension would dilute the credibility of the"
432,"as we have explained in the explanatory statement , this would most likely be achieved"
433,the Commission proposed the transitional period because it would give Community and ACP production time to
434,when the report on the first three years of application of this regulation was presented to the Council
435,the Commission 's consultations with the sector 's operators have welcomed the maintenance of
436,"in addition , the current Community environmental legislation will be reviewed to see whether it should be"
437,"as regards the general problems mentioned in the question , the second part , the Commission is"
438,this report has formed the basis for the overall evaluation of the Fifth Environment Action Programme
439,"this evaluation shows that Community policies have recently produced positive results in some areas , such as"
440,"however , the Commission cannot accept the rapporteur 's proposal to place the secretariat of the"
441,the proposal raises fundamental questions of interinstitutional balance and also legal questions .
442,the question of the location of the secretariat needs to be carefully examined .
443,I also welcome the fact that the Commission is explicitly referring to all areas at particular
444,"after a transitional period , a duty of EUR 275 per tonne on banana"
445,this will safeguard the essential interests of ACP producers .
446,"the open flank , the Achilles heel of the Commission 's proposals , however ,"
447,"we , and especially our French colleagues – and I assume our Portuguese and Spanish collea"
448,Commissioner Patten has already given the Commission 's opinion on Mr Verheugen 's remark
449,that would actually suffice me as the Commission 's position .
450,"my group has always believed that not only the Commission as a whole , but also each individual"
451,we therefore welcome the fact that Mr Verheugen will be given the opportunity this week to
452,a very basic comment as rapporteur for a discharge procedure .
453,"it was a motion from the PPE in April , namely by Mr Elles ,"
454,"that was your proposal , which you have put through !"
455,that is why this point is included .
456,there was an explicit reference to the Court of Auditors ' report at the time .
457,no rapporteur for a discharge procedure involving political groups can be deprived of
458,the claim that group leaders are self-discharged is in itself a matter that needs further
459,"unlike most Member States or the United States , the Treaty does not provide for the possibilit"
460,"in addition , unlike national parliaments , the European Parliament does not have the right of"
461,"therefore , the comitology procedure proposed by the Council and also in the report must"
462,this means that if a clear relationship is established between political and technical matters within a framework legisla
463,"after all , the Lamfalussy report , just like the European Parliament , has also attached"
464,"this agreement that has finally been reached between the Council , the European Parliament and the Commission will ,"
465,I am convinced of the effectiveness of these rules .
466,and it is to be hoped that this new EU regulation will help to overcome a large
467,"I would like to say one more thing , because what I have said so far relates to"
468,"we are now entering very difficult negotiations , and in the context of these negoti"
469,"we adopted an interinstitutional agreement earlier this year , which should strengthen the confi"
470,the Commission has taken a number of horizontal and sectoral initiatives to simplify rules and procedure
471,"the Commission will also prepare a comprehensive report on the achievement of its targets ,"
472,"I must say that the euro-dollar exchange rate does not worry me , not only"
473,I have already said that the European Union still lacks a common growth strategy which would help to
474,"Mr President , ladies and gentlemen , before I take a stand on the substance of"
475,"for us Social Democrats , who have been pointing out the devastating situation of women"
476,we call for the formation of a group of Afghan women leaders to coordinate international support and
477,the women and girls of Afghanistan have suffered 20 years of war and constant violations
478,but they were not condemned to silence .
479,Afghan organizations like RAWA have worked hard and resisted the Taliban state .
480,"finally , I would like to thank Mr Färm and Mr Stenmarck very much for"
481,I am sure that we will be able to present a proper budget by the end of the year
482,Parliament is not to blame .
483,I hope that it is not the Council 's fault either .
484,"I would like to hear some answers from you on this , as we consider whether it is"
485,it is indeed appropriate to create additional administrative possibilities to allow a more precise
486,"my wish , and I believe that of the Committee on Industry , External Trade , Research and"
487,"that would be exemplary , so that we can always keep up to date , lay down the"
488,"thank you , Commissioner , you have done an excellent job ."
489,I believe that the misconception that money can also be used to maintain non-competi
490,I am in favour of transitional aid to prevent structural breakdowns and to
491,"the convertible bond , which is now being considered as a compromise , is quite simply an"
492,"if we receive the requests from France this month , it will also be possible to set the"
493,"in any case , the Commission is prepared to examine the application as soon as we receive it"
494,"to clear up any misunderstandings , if Turkey fulfils these conditions , which today"
495,"I do not know if she will achieve it , but we should give her the chance to do"
496,that is why the political criteria are important here .
497,I would like to thank the rapporteur for the fact that we have come closer together in
498,the Community 's competition policy has acquired a new European and international dimension .
499,"in the context of the enlargement process and globalisation , it plays a growing role in economic"
500,"the Commission has contributed EUR 22.5 million to the repair work , which amount"
501,following this accident and the two subsequent fire disasters in Austria – the collision-
502,our conclusions on this matter are part of the White Paper on transport policy up to 2
503,the open method of coordination can certainly make an important contribution to ensuring that
504,"but this process will not win the approval of the citizens , from my experience , if it"
505,"and it is not democratic to this day , it is intergovernmental ."
506,that is why it is up to us to do something .
507,"if we believe that efficiency and democracy are in conflict , that flexibility and responsible parliament"
508,I therefore hope that this debate and this report will help us to do our homework in
509,"unfortunately , we can now see that the new era is beginning with a weakening"
510,"under the previous rules , the implementing rules for the new Financial Regulation would have had to be"
511,now the Commission is no longer legally obliged to even consult Parliament .
512,"of course , Mrs Schreyer , we welcome the fact that you are doing this , especially"
513,"secondly , Europe must have a great interest in having a stable large country in this crisis"
514,people ’ s confidence in the EU has now reached a record low in all member states .
515,"in Eastern Europe , the EU ’ s hesitant stance is causing growing irritation ."
516,the real initiatives - Parliament has pointed them out in all its resolutions for years -
517,"the most important initiative is probably the establishment and development of a European democracy , the"
518,we did not see any decision in Feira on the inclusion of the Charter of Fundamental
519,"there has not even been any talk of a new method of the Intergovernmental Conference ,"
